date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:50	155/155	---MCZ	200	added ('OK')	text/plain	etag:W/%22646301ee-184%22	https://trishulbiotech.com/robots.txt		(from )
12:33:51	163906/163906	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202026%2007:02:30%20GMT	https://trishulbiotech.com/	D:/Work%20+%20Files/00_Graphic%20design/06_For%20People/Swetha%20Mathiyalagan/trishul/trishulbiotech.com/index.html	(from )
12:33:52	2451/2451	---MCZ	200	added ('OK')	application/json	date:Sat,%2021%20Mar%202026%2007:02:31%20GMT	https://trishulbiotech.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftrishulbiotech.com%2F	D:/Work%20+%20Files/00_Graphic%20design/06_For%20People/Swetha%20Mathiyalagan/trishul/trishulbiotech.com/wp-json/oembed/1.0/embeddb9b.json	(from https://trishulbiotech.com/)
12:33:52	36333/36333	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%224df2b9f909699a59c111c3c6abeff268%22	https://trishulbiotech.com/feed/	D:/Work%20+%20Files/00_Graphic%20design/06_For%20People/Swetha%20Mathiyalagan/trishul/trishulbiotech.com/feed/index.html	(from https://trishulbiotech.com/)
12:33:54	2660/2660	---MCZ	200	added ('OK')	text/xml	date:Sat,%2021%20Mar%202026%2007:02:33%20GMT	https://trishulbiotech.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftrishulbiotech.com%2F&format=xml	D:/Work%20+%20Files/00_Graphic%20design/06_For%20People/Swetha%20Mathiyalagan/trishul/trishulbiotech.com/wp-json/oembed/1.0/embedcf7f	(from https://trishulbiotech.com/)
12:33:55	1417/1417	---MCZ	200	added ('OK')	application/json	date:Sat,%2021%20Mar%202026%2007:02:34%20GMT	https://trishulbiotech.com/wp-json/wp/v2/pages/7	D:/Work%20+%20Files/00_Graphic%20design/06_For%20People/Swetha%20Mathiyalagan/trishul/trishulbiotech.com/wp-json/wp/v2/pages/7.json	(from https://trishulbiotech.com/)
12:33:55	282909/282909	---MCZ	200	added ('OK')	application/json	date:Sat,%2021%20Mar%202026%2007:02:34%20GMT	https://trishulbiotech.com/wp-json/	D:/Work%20+%20Files/00_Graphic%20design/06_For%20People/Swetha%20Mathiyalagan/trishul/trishulbiotech.com/wp-json/index.html	(from https://trishulbiotech.com/)
12:33:55	434/434	---M--	200	added ('OK')	image/png	etag:%2262dc02ea-324%22	https://trishulbiotech.com/img/F-icon-01.png	D:/Work%20+%20Files/00_Graphic%20design/06_For%20People/Swetha%20Mathiyalagan/trishul/trishulbiotech.com/img/F-icon-01.png	(from https://trishulbiotech.com/)
12:33:55	823/823	---MCZ	200	added ('OK')	text/xml	date:Sat,%2021%20Mar%202026%2007:02:34%20GMT	https://trishulbiotech.com/xmlrpc.php?rsd	D:/Work%20+%20Files/00_Graphic%20design/06_For%20People/Swetha%20Mathiyalagan/trishul/trishulbiotech.com/xmlrpc0db0.php	(from https://trishulbiotech.com/)
12:33:55	6890/6890	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226371d37d-1aea%22	https://trishulbiotech.com/img/trishul-biotech-logo.svg	D:/Work%20+%20Files/00_Graphic%20design/06_For%20People/Swetha%20Mathiyalagan/trishul/trishulbiotech.com/img/trishul-biotech-logo.svg	(from https://trishulbiotech.com/)
